2019-02-11 15:43:53,714 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------43
2019-02-11 18:03:58,234 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------248
2019-02-11 18:03:58,237 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------236
2019-02-11 18:03:58,243 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------252
2019-02-11 18:03:58,246 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------240
2019-02-11 18:03:58,249 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------256
2019-02-11 18:03:58,251 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------244
2019-02-11 18:03:58,254 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------260
2019-02-11 18:03:58,257 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------248
2019-02-11 18:03:58,260 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------264
2019-02-11 18:03:58,262 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------252
2019-02-11 18:03:58,265 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------268
2019-02-11 18:03:58,268 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------256
2019-02-11 18:03:58,270 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------272
2019-02-11 18:03:58,273 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------260
2019-02-11 18:03:58,276 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------276
2019-02-11 18:03:58,279 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------264
2019-02-11 18:03:58,282 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------280
2019-02-11 18:03:58,285 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------268
2019-02-11 18:03:58,288 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------284
2019-02-11 18:03:58,291 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------272
2019-02-11 18:03:58,294 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------288
2019-02-11 18:03:58,297 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------276
2019-02-11 18:03:58,300 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------292
2019-02-11 18:03:58,303 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------280
2019-02-11 18:03:58,306 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------296
2019-02-11 18:03:58,309 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------284
2019-02-11 18:03:58,312 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------300
2019-02-11 18:03:58,316 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------288
2019-02-11 18:03:58,319 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------304
2019-02-11 18:03:58,321 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------292
2019-02-11 18:03:58,323 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------308
2019-02-11 18:03:58,325 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------296
2019-02-11 18:03:58,327 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------312
2019-02-11 18:03:58,329 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------300
2019-02-11 18:03:58,332 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------316
2019-02-11 18:03:58,336 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------304
2019-02-11 18:03:58,339 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------320
2019-02-11 18:03:58,343 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------308
2019-02-11 18:03:58,346 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------324
2019-02-11 18:03:58,349 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------312
2019-02-11 18:03:58,353 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------328
2019-02-11 18:03:58,356 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------316
2019-02-11 18:03:58,359 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------332
2019-02-11 18:03:58,361 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------320
2019-02-11 18:03:58,363 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------336
2019-02-11 18:03:58,365 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------324
2019-02-11 18:03:58,367 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------340
2019-02-11 18:03:58,369 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------328
2019-02-11 18:03:58,372 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------344
2019-02-11 18:03:58,376 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------332
2019-02-11 18:03:58,380 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------348
2019-02-11 18:03:58,382 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------336
2019-02-11 18:03:58,385 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------352
2019-02-11 18:03:58,388 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------340
2019-02-11 18:03:58,391 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------356
2019-02-11 18:03:58,395 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------344
2019-02-11 18:03:58,399 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------360
2019-02-11 18:03:58,402 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------348
2019-02-11 18:03:58,406 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------364
2019-02-11 18:03:58,410 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------352
2019-02-11 18:03:58,414 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------368
2019-02-11 18:03:58,417 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------356
2019-02-11 18:03:58,421 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------372
2019-02-11 18:03:58,425 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------360
2019-02-11 18:03:58,429 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------376
2019-02-11 18:03:58,433 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------364
2019-02-11 18:03:58,438 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------380
2019-02-11 18:03:58,442 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------368
2019-02-11 18:03:58,446 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------384
2019-02-11 18:03:58,450 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------372
2019-02-11 18:03:58,455 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------388
2019-02-11 18:03:58,459 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------376
2019-02-11 18:03:58,463 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------392
2019-02-11 18:03:58,468 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------380
2019-02-11 18:03:58,472 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------396
2019-02-11 18:03:58,477 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------384
2019-02-11 18:03:58,481 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------400
2019-02-11 18:03:58,485 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------388
2019-02-11 18:03:58,490 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------404
2019-02-11 18:03:58,494 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------392
2019-02-11 18:03:58,499 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------408
2019-02-11 18:03:58,503 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------396
2019-02-11 18:03:58,507 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------412
2019-02-11 18:03:58,510 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------400
2019-02-11 18:03:58,513 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------416
2019-02-11 18:03:58,517 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------404
2019-02-11 18:03:58,520 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------420
2019-02-11 18:03:58,524 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------408
2019-02-11 18:03:58,527 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------424
2019-02-11 18:03:58,529 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------412
2019-02-11 18:03:58,533 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------428
2019-02-11 18:03:58,537 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------416
2019-02-11 18:03:58,540 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------432
2019-02-11 18:03:58,544 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------420
2019-02-11 18:03:58,547 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------436
2019-02-11 18:03:58,550 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------424
2019-02-11 18:03:58,554 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------440
2019-02-11 18:03:58,557 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------428
2019-02-11 18:03:58,561 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------444
2019-02-11 18:03:58,565 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------432
2019-02-11 18:03:58,569 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------448
2019-02-11 18:03:58,572 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------436
2019-02-11 18:03:58,576 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------452
2019-02-11 18:03:58,580 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------440
2019-02-11 18:03:58,584 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------456
2019-02-11 18:03:58,587 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------444
2019-02-11 18:03:58,591 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------460
2019-02-11 18:03:58,595 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------448
2019-02-11 18:03:58,599 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------464
2019-02-11 18:03:58,604 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------452
2019-02-11 18:03:58,607 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------468
2019-02-11 18:03:58,610 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------456
2019-02-11 18:03:58,615 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------472
2019-02-11 18:03:58,618 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------460
2019-02-11 18:03:58,621 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------476
2019-02-11 18:03:58,625 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------464
2019-02-11 18:03:58,629 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------480
2019-02-11 18:03:58,632 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------468
2019-02-11 18:03:58,637 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------484
2019-02-11 18:03:58,641 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------472
2019-02-11 18:03:58,645 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------488
2019-02-11 18:03:58,652 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------476
2019-02-11 18:03:58,657 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------492
2019-02-11 18:03:58,660 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------480
2019-02-11 18:03:58,664 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------496
2019-02-11 18:03:58,667 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------484
2019-02-11 18:03:58,671 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------500
2019-02-11 18:03:58,676 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------488
2019-02-11 18:03:58,680 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------504
2019-02-11 18:03:58,684 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------492
2019-02-11 18:03:58,688 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------508
2019-02-11 18:03:58,692 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------496
2019-02-11 18:03:58,697 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------512
2019-02-11 18:03:58,702 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------500
2019-02-11 18:03:58,706 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------516
2019-02-11 18:03:58,710 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------504
2019-02-11 18:03:58,715 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------520
2019-02-11 18:03:58,719 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------508
2019-02-11 18:03:58,724 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------524
2019-02-11 18:03:58,730 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------512
2019-02-11 18:03:58,736 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------528
2019-02-11 18:03:58,741 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------516
2019-02-11 18:03:58,747 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------532
2019-02-11 18:03:58,752 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------520
2019-02-11 18:03:58,758 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------536
2019-02-11 18:03:58,764 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------524
2019-02-11 18:03:58,769 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------540
2019-02-11 18:03:58,772 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------528
2019-02-11 18:03:58,775 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------544
2019-02-11 18:03:58,780 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------532
2019-02-11 18:03:58,784 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------548
2019-02-11 18:03:58,789 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------536
2019-02-11 18:03:58,793 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------552
2019-02-11 18:03:58,799 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------540
2019-02-11 18:03:58,805 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------556
2019-02-11 18:03:58,811 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------544
